Kind,Name,File,CountLineCode,CountLineComment,CountStmt,MaxNesting,RatioCommentToCode,Cyclomatic,CountInput,CountOutput,num_if_inloop,num_loop_inif,num_nested_loop,num_nested_loop_incrit,synchronization,thread,io_in_loop,database_in_loop,collection_in_loop,io,database,collection,recursive
Public Method,"com.facebook.debug.holder.NoopPrinter.logMessage(DebugOverlayTag,String)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactAndroid/src/main/java/com/facebook/debug/holder/NoopPrinter.java,1,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Method,"com.facebook.debug.holder.NoopPrinter.logMessage(DebugOverlayTag,String,Object...)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactAndroid/src/main/java/com/facebook/debug/holder/NoopPrinter.java,1,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Method,com.facebook.debug.holder.NoopPrinter.shouldDisplayLogMessage(DebugOverlayTag),/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactAndroid/src/main/java/com/facebook/debug/holder/NoopPrinter.java,3,0,2,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,"com.facebook.debug.holder.Printer.logMessage(DebugOverlayTag,String)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactAndroid/src/main/java/com/facebook/debug/holder/Printer.java,1,0,1,0,0.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,"com.facebook.debug.holder.Printer.logMessage(DebugOverlayTag,String,Object...)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactAndroid/src/main/java/com/facebook/debug/holder/Printer.java,1,0,1,0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.facebook.debug.holder.Printer.shouldDisplayLogMessage(DebugOverlayTag),/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactAndroid/src/main/java/com/facebook/debug/holder/Printer.java,1,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Static Method,com.facebook.debug.holder.PrinterHolder.getPrinter(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactAndroid/src/main/java/com/facebook/debug/holder/PrinterHolder.java,3,0,2,0,0.0,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Static Method,com.facebook.debug.holder.PrinterHolder.setPrinter(Printer),/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactAndroid/src/main/java/com/facebook/debug/holder/PrinterHolder.java,7,0,4,1,0.0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Public Abstract Method,com.facebook.fbreact.specs.NativeSampleTurboModuleSpec.getArray(ReadableArray),/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactCommon/react/nativemodule/samples/platform/android/NativeSampleTurboModuleSpec.java,1,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
Public Abstract Method,com.facebook.fbreact.specs.NativeSampleTurboModuleSpec.getBool(boolean),/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactCommon/react/nativemodule/samples/platform/android/NativeSampleTurboModuleSpec.java,1,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Method,com.facebook.fbreact.specs.NativeSampleTurboModuleSpec.getConstants(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactCommon/react/nativemodule/samples/platform/android/NativeSampleTurboModuleSpec.java,22,0,15,2,0.0,4,2,7,0,0,0,0,0,0,0,0,0,0,0,9,0
Public Abstract Method,com.facebook.fbreact.specs.NativeSampleTurboModuleSpec.getNumber(double),/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactCommon/react/nativemodule/samples/platform/android/NativeSampleTurboModuleSpec.java,1,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Abstract Method,com.facebook.fbreact.specs.NativeSampleTurboModuleSpec.getObject(ReadableMap),/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactCommon/react/nativemodule/samples/platform/android/NativeSampleTurboModuleSpec.java,1,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Public Abstract Method,com.facebook.fbreact.specs.NativeSampleTurboModuleSpec.getRootTag(double),/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactCommon/react/nativemodule/samples/platform/android/NativeSampleTurboModuleSpec.java,1,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Abstract Method,com.facebook.fbreact.specs.NativeSampleTurboModuleSpec.getString(String),/home/gzhao/performance_bug_prediction/github_data_collection/projects/react-native/ReactCommon/react/nativemodule/samples/platform/android/NativeSampleTurboModuleSpec.java,1,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
