Kind,Name,File,CountLineCode,CountLineComment,CountStmt,MaxNesting,RatioCommentToCode,Cyclomatic,CountInput,CountOutput,num_if_inloop,num_loop_inif,num_nested_loop,num_nested_loop_incrit,synchronization,thread,io_in_loop,database_in_loop,collection_in_loop,io,database,collection,recursive
Lambda Method,com.refinedmods.refinedstorage.RS.RS.(lambda_expr_1)(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/RS.java,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,"com.refinedmods.refinedstorage.api.IRSAPI.addExternalStorageProvider(StorageType,IExternalStorageProvider<?>)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,6,1,0,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.addPatternRenderHandler(ICraftingPatternRenderHandler),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,3,1,0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.createCraftingMonitorElementList(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,3,1,0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.createCraftingRequestInfo(CompoundNBT),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,6,1,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.createCraftingRequestInfo(FluidStack),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,6,1,0,6.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.createCraftingRequestInfo(ItemStack),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,6,1,0,6.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,"com.refinedmods.refinedstorage.api.IRSAPI.createDefaultFluidDisk(ServerWorld,int)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,5,1,0,5.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.getComparer(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,3,1,0,3.0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.getCraftingGridBehavior(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,3,1,0,3.0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.getCraftingMonitorElementRegistry(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,3,1,0,3.0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.getCraftingPreviewElementRegistry(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,3,1,0,3.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.getCraftingTaskRegistry(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,3,1,0,3.0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.getExternalStorageProviders(StorageType),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,4,1,0,4.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.getFluidStackHashCode(FluidStack),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,4,1,0,4.0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.getItemStackHashCode(ItemStack),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,4,1,0,4.0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.getNetworkManager(ServerWorld),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,6,1,0,6.0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.getNetworkNodeHashCode(INetworkNode),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,4,1,0,4.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.getNetworkNodeManager(ServerWorld),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,6,1,0,6.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.getNetworkNodeRegistry(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,3,1,0,3.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Abstract Method,com.refinedmods.refinedstorage.api.IRSAPI.getPatternRenderHandlers(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/refinedstorage/src/main/java/com/refinedmods/refinedstorage/api/IRSAPI.java,1,3,1,0,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
