Kind,Name,File,CountLineCode,CountLineComment,CountStmt,MaxNesting,RatioCommentToCode,Cyclomatic,CountInput,CountOutput,num_if_inloop,num_loop_inif,num_nested_loop,num_nested_loop_incrit,synchronization,thread,io_in_loop,database_in_loop,collection_in_loop,io,database,collection,recursive
Public Method,de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementReportExportFormat.getExtension(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementReportExportFormat.java,4,0,2,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Method,de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementReportExportFormat.values(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementReportExportFormat.java,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Method,de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementResult.getAgreement(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementResult.java,4,0,2,0,0.0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Method,de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementResult.getCasGroupIds(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementResult.java,4,0,2,0,0.0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Public Method,de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementResult.getFeature(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementResult.java,4,0,2,0,0.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Method,de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementResult.getStudy(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementResult.java,4,0,2,0,0.0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Method,de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementResult.isExcludeIncomplete(),/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementResult.java,4,0,2,0,0.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Method,de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementResult.setAgreement(double),/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementResult.java,4,0,2,0,0.0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Private Static Method,"de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementUtils.configurationSetsWithItemsToCsv(CSVPrinter,AgreementResult<ICodingAnnotationStudy>,List<ConfigurationSet>)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementUtils.java,25,0,20,2,0.0,3,4,19,0,0,1,0,0,0,0,0,4,0,0,10,0
Private Static Method,"de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementUtils.dumpAgreementConfigurationSets(PrintStream,AgreementResult<ICodingAnnotationStudy>,List<ConfigurationSet>)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementUtils.java,15,0,11,3,0.0,4,3,6,1,0,1,0,0,0,0,0,4,0,0,8,0
Private Static Method,"de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementUtils.dumpAgreementConfigurationSetsWithItems(PrintStream,AgreementResult<ICodingAnnotationStudy>,List<ConfigurationSet>)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementUtils.java,17,0,13,3,0.0,4,4,9,1,0,1,0,0,0,0,0,1,0,0,5,0
Private Static Method,"de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementUtils.extractLinkFeatureValueForAgreement(FeatureStructure,String,int,LinkCompareBehavior)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementUtils.java,21,4,9,1,0.19,3,7,9,0,0,0,0,0,0,0,0,0,0,0,2,0
Private Static Method,"de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementUtils.extractValueForAgreement(FeatureStructure,String,int,LinkCompareBehavior)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementUtils.java,21,7,10,1,0.33,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Private Static Method,"de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementUtils.findSomeCas(Map<String,List>)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementUtils.java,13,0,9,4,0.0,5,2,2,2,1,1,0,0,0,0,0,2,0,0,5,0
Public Static Method,de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementUtils.generateCsvReport(CodingAgreementResult),/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementUtils.java,10,0,5,1,0.0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0
Private Static Method,"de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementUtils.makeCodingStudy(CasDiff,Collection<String>,String,String,boolean,boolean,Map<String,List>)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementUtils.java,119,35,81,4,0.29,20,13,44,14,0,1,0,0,0,0,0,24,0,0,52,0
Public Static Method,"de.tudarmstadt.ukp.clarin.webanno.agreement.AgreementUtils.makeCodingStudy(CasDiff,String,String,boolean,Map<String,List>)",/home/gzhao/performance_bug_prediction/github_data_collection/projects/webanno/webanno-agreement/src/main/java/de/tudarmstadt/ukp/clarin/webanno/agreement/AgreementUtils.java,6,0,2,0,0.0,1,9,3,0,0,0,0,0,0,0,0,0,0,0,5,0
